רשות מקומית,סוג רשות,מחוז,דירוג,אוכלוסייה[1],דירוג.1,שטח שיפוט,דירוג.2,צפיפות[2],דירוג.3,מדד ג'יני[2],מדד חברתי-,דירוג.4,מספר יישובים
אבו גוש,מועצה מקומית,ירושלים,196,"7,543",237,"1,900",48,"3,842",245,0.3402,3,,
אבו סנאן,מועצה מקומית,הצפון,132,"13,915",169,"6,660",108,"2,057",181,0.3799,3,,
אבן יהודה,מועצה מקומית,המרכז,132,"13,700",148,"8,250",136,"1,661",6,0.4987,8,,
אום אל-פחם,עירייה,חיפה,33,"55,182",71,"26,060",105,"2,080",168,0.3846,2,,
אופקים,עירייה,הדרום,70,"29,021",124,"10,240",77,"2,715",181,0.3799,3,,
אור יהודה,עירייה,תל אביב,57,"36,864",168,"6,700",27,"5,478",147,0.392,6,,
אור עקיבא,עירייה,חיפה,112,"18,236",184,"5,540",61,"3,213",221,0.3633,5,,
אורנית,מועצה מקומית,יהודה ושומרון,176,"8,807",232,"2,230",44,"3,901",84,0.4251,8,,
אזור,מועצה מקומית,תל אביב,144,"12,854",233,"2,210",26,"5,747",145,0.3925,7,,
אילת,עירייה,הדרום,35,"51,935",36,"98,760",183,513,214,0.3662,6,,
אכסאל,מועצה מקומית,הצפון,129,"14,500",139,"8,990",142,"1,580",114,0.4092,3,,
אליכין,מועצה מקומית,המרכז,236,"3,486",238,"1,680",104,"2,083",125,0.4011,6,,
אלעד,עירייה,המרכז,40,"47,866",216,"3,470",5,"13,516",153,0.3895,2,,
אלפי מנשה,מועצה מקומית,יהודה ושומרון,185,"7,865",198,"4,580",131,"1,703",110,0.4111,8,,
אלקנה,מועצה מקומית,יהודה ושומרון,231,"3,812",245,"1,190",59,"3,277",45,0.4501,7,,
אעבלין,מועצה מקומית,הצפון,140,"13,128",109,"12,190",166,"1,066",216,0.365,3,,
אפרת,מועצה מקומית,יהודה ושומרון,171,"10,088",172,"6,490",146,"1,402",30,0.4622,6,,
אריאל,עירייה,יהודה ושומרון,106,"20,456",99,"14,360",147,"1,365",198,0.3756,6,,
אשדוד,עירייה,הדרום,6,"224,628",51,"46,130",33,"4,832",100,0.4169,5,,
אשקלון,עירייה,הדרום,13,"140,968",52,"45,960",69,"3,000",108,0.4117,5,,
באקה אל-גרביה,עירייה,חיפה,67,"29,393",138,"9,060",62,"3,201",211,0.3685,3,,
באר יעקב,מועצה מקומית,המרכז,88,"26,122",145,"8,600",81,"2,663",187,0.3796,7,,
באר שבע,עירייה,הדרום,8,"209,002",32,"117,320",126,"1,770",74,0.4303,5,,
בועיינה-נוג'ידאת,מועצה מקומית,הצפון,167,"9,645",162,"7,090",148,"1,340",165,0.3852,2,,
בוקעאתא,מועצה מקומית,הצפון,205,"6,528",78,"20,110",196,323,109,0.4113,2,,
ביר אל-מכסור,מועצה מקומית,הצפון,171,"9,317",202,"4,500",110,"2,022",243,0.3443,2,,
בית אל,מועצה מקומית,יהודה ושומרון,212,"6,042",242,"1,520",42,"4,013",55,0.4397,3,,
בית אריה,מועצה מקומית,יהודה ושומרון,222,"5,139",223,"2,890",130,"1,730",150,0.3908,7,,
בית ג'ן,מועצה מקומית,הצפון,151,"11,864",170,"6,650",127,"1,759",59,0.4388,3,,
בית דגן,מועצה מקומית,המרכז,199,"7,211",244,"1,410",30,"5,035",88,0.4223,7,,
בית שאן,עירייה,הצפון,114,"18,227",155,"7,440",88,"2,379",220,0.3635,5,,
בית שמש,עירייה,ירושלים,15,"118,676",55,"38,670",70,"2,958",71,0.4336,2,,
ביתר עילית,עירייה,יהודה ושומרון,32,"56,746",194,"4,920",6,"11,098",192,0.3781,1,,
בני ברק,עירייה,תל אביב,9,"198,863",156,"7,310",1,"26,512",123,0.4043,2,,
"בני עי""ש",מועצה מקומית,המרכז,201,"7,017",248,860,17,"8,140",222,0.3623,5,,
בנימינה-גבעת עדה*,מועצה מקומית,חיפה,122,"15,627",72,"24,370",180,640,14,0.4779,8,,
"בסמ""ה",מועצה מקומית,חיפה,167,"9,779",209,"4,010",89,"2,369",218,0.3648,2,,
בסמת טבעון,מועצה מקומית,הצפון,188,"7,835",210,"3,920",116,"1,964",237,0.3479,2,,
בענה,מועצה מקומית,הצפון,180,"8,299",217,"3,430",90,"2,362",189,0.3792,2,,
בת ים,עירייה,תל אביב,14,"128,774",152,"8,160",3,"15,772",217,0.3649,5,,
ג'דיידה-מכר,מועצה מקומית,הצפון,102,"20,920",137,"9,070",95,"2,271",212,0.3668,2,,
ג'ולס,מועצה מקומית,הצפון,209,"6,375",205,"4,310",145,"1,462",138,0.3966,4,,
ג'לג'וליה,מועצה מקומית,המרכז,166,"9,984",236,"2,070",34,"4,734",231,0.354,2,,
ג'סר א-זרקא,מועצה מקומית,חיפה,128,"14,692",240,"1,610",12,"8,944",255,0.2745,2,,
ג'ש (גוש חלב),מועצה מקומית,הצפון,243,"3,090",167,"6,970",186,445,173,0.3815,6,,
ג'ת,מועצה מקומית,חיפה,152,"11,798",164,"7,030",138,"1,650",175,0.3812,4,,
גבעת זאב,מועצה מקומית,יהודה ושומרון,116,"17,922",203,"4,460",45,"3,879",96,0.4178,5,,
גבעת שמואל,עירייה,המרכז,73,"26,023",227,"2,550",8,"10,118",38,0.4579,8,,
גבעתיים,עירייה,תל אביב,28,"60,212",218,"3,250",2,"18,308",62,0.4377,8,,
גדרה,מועצה מקומית,המרכז,71,"28,092",118,"11,410",85,"2,410",81,0.4257,7,,
גן יבנה,מועצה מקומית,המרכז,83,"23,752",117,"11,440",109,"2,054",102,0.41600000000000004,7,,
גני תקווה,מועצה מקומית,המרכז,111,"19,263",235,"2,100",15,"8,667",39,0.4558,8,,
דאלית אל-כרמל,מועצה מקומית,חיפה,117,"17,427",127,"10,120",133,"1,700",151,0.3907,4,,
דבורייה,מועצה מקומית,הצפון,160,"10,402",186,"5,460",120,"1,868",178,0.3804,3,,
דייר אל-אסד,מועצה מקומית,הצפון,147,"12,348",189,"5,260",94,"2,300",206,0.3723,3,,
דייר חנא,מועצה מקומית,הצפון,161,"10,259",140,"8,960",161,"1,127",181,0.3799,3,,
דימונה,עירייה,הדרום,60,"34,135",24,"173,010",209,195,80,0.4258,4,,
הוד השרון,עירייה,המרכז,27,"62,325",81,"19,400",65,"3,149",18,0.4742,8,,
הר אדר,מועצה מקומית,יהודה ושומרון,227,"4,056",246,990,41,"4,141",35,0.4584,9,,
הרצליה,עירייה,תל אביב,17,"95,142",76,"21,770",39,"4,318",9,0.4897,8,,
זכרון יעקב,מועצה מקומית,חיפה,87,"23,075",63,"31,590",176,728,4,0.5097,8,,
זמר,מועצה מקומית,המרכז,203,"6,940",148,"8,250",173,824,210,0.3693,3,,
זרזיר,מועצה מקומית,הצפון,185,"7,942",206,"4,130",119,"1,889",249,0.3328,2,,
חדרה,עירייה,חיפה,17,"95,683",47,"50,640",121,"1,856",117,0.4073,6,,
חולון,עירייה,תל אביב,10,"194,273",82,"19,060",9,"10,105",123,0.4043,7,,
חורה,מועצה מקומית,הדרום,101,"21,558",144,"8,710",86,"2,388",241,0.345,1,,
חורפיש,מועצה מקומית,הצפון,210,"6,315",192,"5,030",151,"1,233",103,0.4157,4,,
חיפה,עירייה,חיפה,3,"283,640",41,"64,680",38,"4,346",17,0.4745,7,,
חצור הגלילית,מועצה מקומית,הצפון,171,"9,165",188,"5,350",132,"1,701",184,0.3798,4,,
חריש,מועצה מקומית,חיפה,234,"7,569",166,"7,000",182,514,135,0.3979,3,,
טבריה,עירייה,הצפון,44,"44,234",90,"16,280",78,"2,684",143,0.395,4,,
טובא-זנגרייה,מועצה מקומית,הצפון,205,"6,667",214,"3,600",124,"1,806",254,0.3028,2,,
טורעאן,מועצה מקומית,הצפון,132,"14,036",113,"11,890",158,"1,152",172,0.3827,3,,
